n_train,p,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-06,0,3.91944884508848,3.90967708826065,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-06,0,3.90729611366987,3.93736588954926,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,1e-06,0,3.88815497606993,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-06,0,3.90274485945702,3.93642747402191,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,1e-06,0,3.85576508939266,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-06,0,3.92051564902067,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-06,0,3.90369033813477,3.92244875431061,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-06,0,3.91492913663387,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-06,0,3.90672389417887,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-06,0,3.90649677067995,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-06,0,3.88946232944727,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,5e-06,0,3.87608111649752,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-06,0,3.89172998815775,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,5e-06,0,3.87261845171452,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,5e-06,0,3.92616418749094,3.91199326515198,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,5e-06,0,3.91251941770315,3.90322595834732,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,5e-06,0,3.926728323102,3.91229301691055,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,5e-06,0,3.91650345176458,3.90461421012878,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,5e-06,0,3.91773677617311,3.90897470712662,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,5e-06,0,3.8950556665659,3.95092195272446,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,5e-06,0,3.88269664347172,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,5e-06,0,3.90390653163195,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,5e-06,0,3.82332483679056,4.1386102437973,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-05,0,3.92049908638,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-05,0,3.90791122615337,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-05,0,3.9125958532095,3.92905110120773,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-05,0,3.90669997781515,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-05,0,3.90578008443117,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-05,0,3.88884422928095,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,1e-05,0,3.85098419338465,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-05,0,3.89185266196728,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,1e-05,0,3.9211944565177,4.03615880012512,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-05,0,3.92573568969965,3.91143864393234,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-05,0,3.92078180611134,3.91097009181976,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-05,0,3.91993999481201,3.90480381250381,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-05,0,3.91638217121363,3.90621519088745,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-05,0,3.91933069378138,3.91017961502075,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-05,0,3.89522399753332,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,1e-05,0,3.88111334294081,NaN,1e-04,1000,0.4,5,1e-05,20,TRUE
